病院コード,病院名,都道府県,構想区域,異常パターン,R4(2022)_高度急性期,R4(2022)_急性期,R4(2022)_回復期,R4(2022)_慢性期,R4(2022)_合計,R5(2023)_高度急性期,R5(2023)_急性期,R5(2023)_回復期,R5(2023)_慢性期,R5(2023)_合計,R6(2024)_高度急性期,R6(2024)_急性期,R6(2024)_回復期,R6(2024)_慢性期,R6(2024)_合計,R4_R6_完全一致,R5のみ異なる
101040089,医療法人社団豊友会千歳豊友会病院,北海道,千歳市,C: 総数増加（1.4倍）,0,36,59,39,134,0,36,118,39,193,0,36,59,39,134,YES,YES
1313060015,医療法人財団謙仁会亀有病院,東京,葛飾区,C: 総数増加（1.4倍）,0,60,0,38,98,0,60,0,76,136,0,60,0,38,98,YES,YES
1313060072,医療法人社団藤寿会 佐藤病院,東京,荒川区,C: 総数増加（1.4倍）,0,60,0,38,98,0,60,0,76,136,0,60,0,38,98,YES,YES
2121040003,タジミ第一病院,岐阜,多治見市,C: 総数増加（1.4倍）,0,0,30,20,50,0,0,30,40,70,0,0,30,20,50,YES,YES
2626040187,医療法人明生会賀茂病院,京都,京都市北区,C: 総数増加（1.4倍）,0,0,0,59,59,0,0,0,84,84,0,0,0,59,59,YES,YES
2828040066,私立稲美中央病院,兵庫,稲美町,C: 総数増加（1.4倍）,0,50,30,54,134,0,50,30,108,188,0,50,30,54,134,YES,YES
4444030212,大分泌尿器科病院,大分,中部,C: 総数増加（1.4倍）,0,37,0,23,60,0,37,0,46,83,0,37,0,23,60,YES,YES
4646010213,日高病院,鹿児島,鹿児島市,C: 総数増加（1.4倍）,0,0,99,0,99,0,0,138,0,138,0,0,99,0,99,YES,YES
4747030002,おもろまちメディカルセンター,沖縄,那覇市,C: 総数増加（1.4倍）,0,94,0,60,154,0,94,0,120,214,0,94,0,60,154,YES,YES
707010001,あづま脳神経外科病院,福島,福島市,C: 総数増加（1.4倍）,0,37,83,48,168,0,37,143,48,228,0,37,83,48,168,YES,YES
101170032,置戸赤十字病院,北海道,置戸町,C: 総数増加（1.5倍）,0,0,0,95,95,0,0,0,143,143,0,0,0,95,95,YES,YES
1111010017,医療法人社団厚生会埼玉厚生病院,埼玉,川口市,C: 総数増加（1.5倍）,0,55,0,53,108,0,0,0,161,161,0,55,0,53,108,YES,YES
1313020010,医療法人財団中島記念会 大森山王病院,東京,大田区,C: 総数増加（1.5倍）,0,0,30,35,65,0,0,30,70,100,0,0,30,35,65,YES,YES
1313110029,医療法人社団大日会 小金井太陽病院,東京,小金井市,C: 総数増加（1.5倍）,0,26,29,60,115,0,86,29,60,175,0,26,29,60,115,YES,YES
1414020014,医療法人横浜未来ヘルスケアシステム 戸塚共立いずみ野病院,神奈川,横浜,C: 総数増加（1.5倍）,0,50,50,0,100,0,50,100,0,150,0,50,50,0,100,YES,YES
2020030008,社会医療法人南信勤労者医療協会諏訪共立病院,長野,下諏訪町,C: 総数増加（1.5倍）,0,56,54,0,110,0,110,54,0,164,0,56,54,0,110,YES,YES
